Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
22.3333,9.3,2.90949,0.128206
109.833,9.23333,55.7811,0.103761
114.3,9.53333,55.6769,0.164235
142.967,9.43333,63.2241,0.114303
143.067,9.33333,63.2166,0.129839
113.167,9.36667,55.6943,0.112274
143,9.4,63.2215,0.183203
113.233,9.46667,55.6968,0.133333
138.733,9.46667,61.4482,0.177682
114.1,9.53333,55.6863,0.157081
143.033,9.73333,63.2191,0.306757
143.067,9.4,63.2167,0.148556
113.167,9.53333,55.6987,0.177682
143.033,9.5,63.2191,0.157203
142.933,9.56667,63.2263,0.212718
143.167,9.66667,63.2095,0.241325
113.3,9.56667,55.6858,0.218055
142.8,9.7,63.236,0.230691
113.733,9.2,55.6743,0.0884087
142.967,9.36667,63.2239,0.122083
113.3,9.3,55.6879,0.128206
143,9.3,63.2215,0.118903
113.5,9.03333,55.6916,0.0333333
113.667,9.56667,55.6957,0.1492
113.867,9.26667,55.6855,0.0821176
142.967,9.43333,63.224,0.1492
143.067,9.3,63.2166,0.152753
116.3,9.4,55.5745,0.170193
143.033,9.16667,63.2192,0.084191
113.9,9.53333,55.6859,0.184037
143.133,9.36667,63.212,0.122083
114.133,9.46667,55.6814,0.157081
142.867,9.23333,63.2312,0.103761
142.9,9.83333,63.2287,0.325482
113.767,9.3,55.6893,0.128206
113.967,9.4,55.6843,0.170193
114.067,9.7,55.691,0.198558
146.233,9.4,63.0592,0.132179
113.367,9.43333,55.6953,0.183725
146.433,9.56667,63.0637,0.170754
146.267,9.2,63.0761,0.0884087
116.833,9.4,55.579,0.183203
146.467,9.33333,63.0668,0.181522
117.333,9.4,55.5557,0.148556
146.6,9.33333,63.0607,0.138409
116.967,9.1,55.5742,0.0735003
117.733,9.3,55.5754,0.145033
117.367,9.36667,55.5799,0.13116
117.933,9.56667,55.571,0.228354
113.767,9.5,55.6997,0.184141
117.333,9.43333,55.5806,0.177358
113.9,9.63333,55.6912,0.182469
146.4,9.36667,63.0644,0.147651
146.7,9.66667,63.0592,0.199616
146.333,9.76667,63.0749,0.278268
146.333,10.1,63.0657,0.289073
146.6,9.7,63.0588,0.204265
117.833,9.96667,55.5475,0.246741
146.967,9.86667,63.0412,0.212988
117.367,10.1667,55.5614,0.244871
114.567,9.63333,55.6697,0.122083
117.833,10.1667,55.5437,0.25857
146.8,13.2333,63.0401,3.06657
146.967,17.0333,63.0295,4.84008
120.6,53.8333,55.4128,33.4885
118.633,58.8333,55.5305,33.6263
122.633,117.533,55.3733,55.5363
147.533,93.1333,63.0009,46.1915
154.033,190.067,62.6971,68.4348
184.333,171.9,68.8247,61.6981
162.067,229.333,62.2721,72.9584
196.467,281.6,68.0974,75.3
203.267,431.367,67.6286,88.2594
203.067,408.467,67.7326,85.5748
237,530.867,72.3741,89.4884
304.3,460.833,79.5949,86.7131
379.667,508.967,83.3113,87.5821
448.867,543.767,85.6299,87.1581
393.033,666.4,81.6587,84.3425
487.4,697.167,85.489,82.6583
607.233,670.2,86.0845,83.4978
643.433,730.567,83.878,79.78
589.133,760.467,83.9858,77.3732
739.433,785.333,77.2073,76.0945
677.033,704.833,81.7455,80.6186
774.167,706.967,73.0507,80.0876
686.267,828.967,79.3562,67.6968
774.133,680.733,73.0624,80.5474
812.6,802.4,67.6445,71.0429
788.667,805.767,71.511,69.0929
773.167,833.033,73.3412,66.2206
806.1,865.733,68.9774,60.3222
748,836.5,74.6074,64.812
924,807.067,48.4702,68.6511
747.933,828.167,74.6265,68.0898
836.4,866.6,64.8464,59.9619
774.767,865.333,72.8583,60.4885
778.833,865.2,71.4979,60.5411
778.033,864.9,71.7489,60.6672
894.233,836.567,55.2928,64.784
803.6,749.667,69.8953,74.1362
817.233,893.833,66.0344,55.4717
691.9,861.267,77.8862,62.2839
866.067,861.433,60.183,62.2287
835.733,745.567,65.0954,75.3956
741.267,807.6,76.7081,68.4708
806.067,865.633,68.9858,60.3608
837.4,890.7,64.4754,54.7897
780.067,862.367,71.1227,61.8494
894.133,750.767,55.3303,73.8227
807.233,862.2,68.5919,61.8485
749.867,807.667,74.0786,68.4461
894.733,894.667,55.0465,55.0802
807.2,750.033,68.6036,74.0326
836.167,895.3,64.9359,54.7801
807.4,981.967,68.5334,29.0333
836.867,744.667,64.6758,75.6567
721.4,895.133,76.0622,54.8557
912,777.9,50.9812,71.7842
836.633,891.067,64.7618,56.9194
751.5,923.567,74.0425,48.7087
809.633,837.3,67.8033,64.5122
867.167,778.833,59.7338,71.4973
895.4,833.933,54.7323,65.8932
780.467,862.733,70.995,61.7102
836.133,864.8,64.9512,59.4277
754.4,808.433,73.2893,68.1872
803.367,779,70.0085,71.4435
808.467,866.033,68.178,60.1969
808.367,895.267,68.2084,54.7941
919.2,808.833,51.251,68.0508
778,894.6,71.7537,55.1096
895,750.2,54.9217,73.987
692.3,780.167,77.7851,71.0932
809.833,895.733,67.719,54.5762
809.067,836.467,67.972,64.8209
804.033,779.467,69.7815,71.3001
837.067,804.467,64.5984,69.626
894.967,838.1,54.9358,64.2155
865.5,749.3,60.4166,74.2356
693.5,891.433,77.4946,56.7554
808.567,796.4,68.1444,72.4575
832.7,751.167,66.3409,73.7052
832.7,837.467,66.3351,64.452
774.333,857.567,72.9889,63.8852
805.2,865.9,69.4131,60.2519
809.233,920.8,67.9185,50.3288
862.233,833.967,61.9056,65.8736
776.2,833.333,72.4395,66.1148
659.433,862.633,80.081,61.7315
917.867,895.167,46.0548,54.8415
721,867.2,76.1606,59.7131
809.533,837.567,67.8205,64.4138
779.567,895.067,71.2712,54.8869
833.4,924.5,66.0906,48.1902
837.867,924.467,64.3031,48.2065
867.8,894.9,59.4678,54.967
895.767,891.8,54.557,56.5874
867.1,919.833,59.7535,50.9248
867.433,923.7,59.6188,48.6345
778.9,836.267,71.4825,64.8963
799.9,834.133,71.2645,65.8188
925.467,895.7,47.6516,54.5933
836.867,919.567,64.6736,51.0576
895.833,924.767,54.5246,48.0394
837.433,833.2,64.4635,66.1638
895.533,804,54.6684,69.8001
809.3,810.367,67.8989,67.5386
912.967,954.733,48.8314,39.0981
862.267,925.6,61.8911,47.5852
882.333,805.867,55.3952,69.1206
895.5,896.367,54.6815,54.2761
862.067,924.3,61.9656,48.2995
895.067,924.333,54.8889,48.2808
895.133,924.5,54.8561,48.1893
867.067,920.633,59.7669,50.4611
896.667,916.267,54.1376,48.5602
892.3,890.833,56.3614,57.025
953.2,952.933,40.161,40.3453
867.733,867.467,59.4933,59.6051
896.333,924.9,54.29,47.9656
895.933,982.133,54.4829,28.8667
920.333,895.033,50.6452,54.9031
954,924.833,39.6076,48.0038
863,975.9,61.606,29.2415
833.767,953.2,65.9494,40.1606
896.633,1011,54.1485,0
862.3,924.867,61.8722,47.985
896.8,953.6,54.0697,39.883
953,924.9,40.299,47.9654
