Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-0.648462,-0.500706,0.0818763,0.062022
-0.518255,-0.451263,0.0743761,0.063879
-0.414229,-0.495834,0.068366,0.0688959
-0.27932,-0.376339,0.0578749,0.0620485
-0.120325,-0.318103,0.0562371,0.0625752
0.0138824,-0.157547,0.0570709,0.062414
0.130324,0.0405062,0.0534327,0.0469012
0.357026,0.0494438,0.0462335,0.0610005
0.532547,0.300446,0.0474289,0.0603957
0.690655,0.378345,0.051107,0.0623416
0.848523,0.726279,0.064073,0.0559549
1.17821,0.871166,0.0511518,0.0636008
1.2106,1.15186,0.0535773,0.064317
1.27817,1.35809,0.0553616,0.0667192
1.44974,1.5766,0.0561202,0.063558
1.51739,1.92175,0.0512111,0.0556605
1.538,2.03832,0.0580776,0.0703965
1.54558,2.18248,0.061764,0.0570903
1.5813,2.31453,0.0556239,0.057958
1.60404,2.44973,0.0567628,0.0543715
1.66152,2.50194,0.0554956,0.057138
1.7218,2.52534,0.0534608,0.0551839
1.79851,2.7013,0.0548207,0.0518442
1.76994,2.67818,0.0621763,0.0567103
1.85523,2.8171,0.0547349,0.0505069
1.82877,2.76862,0.0556418,0.0495383
1.88608,2.78579,0.055413,0.0545546
1.87706,2.9035,0.0572509,0.0476225
1.84644,2.79237,0.0621542,0.0490477
1.97003,2.93991,0.0553603,0.0490112
1.93543,2.89437,0.0602639,0.0477974
1.95967,2.92565,0.0624063,0.0466665
1.97864,2.92484,0.0572502,0.047317
2.01658,2.97166,0.0590634,0.0458315
1.96659,3.0106,0.0608246,0.0450523
2.0465,2.99716,0.0553117,0.0453036
2.09008,2.94781,0.0555671,0.0474242
2.07403,3.02727,0.0570501,0.0466235
2.1298,2.97215,0.0527639,0.0460025
2.07168,2.99972,0.0570157,0.0447906
2.12241,2.96604,0.0565449,0.0435772
2.17479,3.05696,0.0551661,0.0400287
2.25627,3.0531,0.053671,0.0414427
2.2263,3.09392,0.0557479,0.0416165
2.19021,3.05598,0.0539188,0.0455071
2.23289,3.04314,0.0546341,0.0408273
2.28212,3.11257,0.0576595,0.0404375
2.26996,3.12627,0.0571608,0.0417195
2.25658,3.05469,0.0548817,0.0427807
2.25875,3.01091,0.064011,0.0443157
2.32919,3.14045,0.0556405,0.0403042
2.38188,3.07177,0.0550464,0.0396487
2.48304,3.06476,0.0504551,0.04593
2.41812,3.09875,0.0534059,0.0397573
2.36368,3.06667,0.0564544,0.0455353
2.43066,3.14199,0.0564757,0.0404315
2.41727,3.05297,0.0546612,0.0397814
2.44918,3.07985,0.0565647,0.0400583
2.50861,3.1838,0.0542627,0.0367173
2.49194,3.12625,0.0533349,0.0388767
2.46581,3.15555,0.0526577,0.0411941
2.50303,3.07094,0.0510036,0.041124
2.52241,3.16016,0.051988,0.0393869
2.54045,3.11547,0.0484445,0.0438084
