Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-12599.3,-17378.2,965.2,696.752
-10628.8,-10392.8,783.197,673.374
-8623.3,-11618.3,606.874,850.264
-8098.93,-9017.3,588.548,645.252
-6242.27,-7584.87,402.739,602.035
-5433.93,-5575.13,507.831,403.09
-5411,-4934.43,386.527,277.863
-4173.07,-5244,273.521,390.312
-4098.57,-3990.1,287.016,213.107
-3522.4,-4170.97,211.183,294.184
-3810.6,-3378.23,276.95,220.476
-3365,-3467.5,212.274,205.571
-3257.5,-3339.4,196.343,255.666
-3182.97,-3054.97,163.149,171.1
-2645.77,-2587.2,138.43,153.847
-2931.07,-2788.5,183.197,197.839
-2848.97,-2301.47,181.897,107.703
-2630.57,-2310.8,201.066,111.51
-2464.7,-2607.6,162.714,153.919
-2556.97,-2392.47,122.665,118.399
-2174.83,-2098.8,121.23,94.0544
-2416.1,-2400.87,167.869,152.821
-2134.1,-2211.47,143.516,149.082
-2016.33,-2074.7,98.2794,101.952
-2203.73,-2009.47,113.222,93.3123
-2016.9,-1883.4,109.762,105.42
-2036.67,-1817.17,134.773,88.0708
-1913.4,-2080.97,118.965,144.496
-1884.37,-1795.9,103.544,98.1315
-1952.87,-1697.97,108.164,75.8373
-1830.2,-1732.63,117.675,86.79
-1824.83,-1676.3,124.366,77.9846
-1693.6,-1746.9,95.719,107.276
-1746.9,-1512.13,104.342,59.8749
-1639,-1702.33,107.167,87.6585
-1490,-1790.63,75.4287,139.577
-1656.4,-1688.37,97.3194,95.8272
-1597.27,-1456.03,105.329,93.9655
-1509.43,-1574.17,83.78,89.0911
-1546.87,-1541.37,89.7497,70.7452
-1439.77,-1522.67,71.5382,87.9318
-1535,-1414.03,95.607,62.5443
-1547.83,-1412.43,104.421,76.4406
-1416.03,-1372.83,85.9858,71.0627
-1296.53,-1414.37,60.1506,65.0403
-1498.73,-1401.8,79.1031,73.8492
-1378.03,-1271.07,71.5173,63.7205
-1269.27,-1341.37,53.6326,73.4597
-1451.43,-1342.87,86.0451,76.9808
-1313.6,-1175.8,82.2341,51.3889
-1326.87,-1188.97,73.9812,54.2177
-1244.83,-1207.87,55.5905,62.5935
-1318.3,-1187.2,66.2937,57.4942
-1263.17,-1278.23,73.1274,83.445
-1201.4,-1194.93,79.0553,55.98
-1187.87,-1152.5,53.1196,65.4959
-1311.03,-1168.07,101.417,67.5638
-1240.07,-1098.53,80.1767,45.3817
-1167.33,-1111.9,45.8928,42.5477
-1171.7,-1104.53,49.2927,45.088
-1197.57,-1082.97,78.3485,37.6227
-1033.67,-1114.8,26.413,57.7011
-1118,-1137.8,71.0491,71.8856
-1033.5,-1092.03,42.0809,53.3521
-1113.97,-1002.23,55.0903,37.8525
-1166.6,-1046.8,72.781,53.3894
-1008.7,-1042.27,58.2978,55.8479
-1000.7,-1041.63,54.8059,48.7847
-1101.87,-1063.2,48.8596,46.3566
-965,-1018.2,39.0741,40.567
-1019.57,-1008.9,61.3001,54.023
-1094.63,-1028.27,53.8585,45.044
-1055.3,-979.833,52.4309,41.7927
-1083,-1049.1,76.0207,39.5593
-981.4,-938.933,52.5699,52.2596
-1055.17,-942.667,55.1792,48.8359
-998.833,-915.067,61.1301,35.7006
-965.867,-960.067,33.9068,53.7863
-902.4,-942.133,30.5066,51.3643
-981.667,-947.667,36.9969,49.7456
-963.833,-850.167,42.2504,29.7654
-893.633,-915.567,35.914,37.7789
-962.6,-895.467,55.2471,39.3881
-933.967,-910.033,48.0431,45.3335
-939.467,-900.667,51.0074,54.5503
-926.4,-942.033,40.5943,43.7317
-962.167,-940.333,50.7312,54.198
-955.133,-982.267,57.1622,60.3192
-891.633,-885.833,40.0168,42.2714
-897.433,-895.133,50.7411,46.4887
-914.067,-872,46.4396,39.6116
-890.133,-855.967,38.9428,49.255
-869.933,-782.2,57.3489,25.5692
-910.8,-815.167,44.9752,31.0483
-847.833,-907.267,34.9177,42.1285
-881.833,-860.467,41.9889,46.314
-843.267,-850.967,35.3933,43.5085
-871.467,-806.467,43.9095,44.1687
-790.767,-867.2,33.0184,43.584
-900.833,-811.1,47.307,36.6276
-813.133,-927.767,50.3409,65.8714
-740.733,-850.3,32.5336,39.0313
-792.767,-838.933,51.0845,52.8853
-828.333,-783.7,52.1966,29.5807
-781.867,-746.367,53.5924,28.0828
-799.467,-855.5,42.7826,44.2733
-853.433,-765.333,48.8543,24.189
-743.067,-817.467,49.1379,47.6235
-818.367,-729.567,52.1154,33.2384
-821.2,-790.733,42.3895,35.7254
-786.833,-743.233,38.1643,38.871
-731.433,-759.9,30.831,37.0537
-727.567,-783.3,34.8957,37.6956
-744.4,-795.1,30.627,50.926
-712.5,-713.167,37.2698,31.6161
-823.4,-854.567,59.3121,54.5547
-700.067,-751.6,24.8802,31.9008
-787.333,-734.733,40.9634,30.0593
-691.667,-729.067,31.9199,34.2426
-715.733,-752.5,32.1178,37.8247
-755.4,-713.367,36.0947,33.5309
-687.567,-728.533,38.1278,40.9282
-712.6,-701.3,40.7775,35.8264
-700.7,-710.267,33.5963,38.7778
-718.967,-724.1,37.5629,31.4038
-803.4,-685.833,48.1731,27.331
-733.7,-661,45.6655,31.9515
-727.667,-707.033,36.9224,34.6068
-664.433,-678.467,29.5286,26.1253
-705.133,-715.1,26.2276,39.0631
-712.8,-751.133,36.0059,45.7666
-697.267,-695.933,33.6649,35.6598
-637.133,-694.567,29.4018,42.7431
-715.4,-692.567,29.298,36.727
-681.533,-676.567,39.5395,30.4758
-677.067,-665.367,32.295,33.5181
-692.633,-715.867,41.2498,29.626
-786.567,-677.533,48.8607,37.9133
-586.233,-722.033,29.7496,31.458
-701.7,-625.467,43.4766,26.224
-653.7,-607.2,31.5188,26.856
-645.433,-681.433,29.4379,42.4123
-588.5,-629.933,31.6373,26.1616
-684.4,-698.133,37.8545,38.1949
-645.9,-644.067,26.8696,34.3591
-728.633,-626.467,45.1881,28.2759
-607.7,-627.333,44.5558,33.9017
-662.867,-626.567,45.194,34.4585
-619.467,-604.967,27.5443,26.4667
-692.133,-593.267,51.9037,29.9845
-645.1,-623.667,30.0921,32.9168
-570.233,-623.667,20.2445,22.3488
-627.667,-573.933,30.6242,30.1129
-605.633,-627.667,28.1839,29.9462
-611.7,-564.6,25.9108,26.5796
-646.8,-576.333,36.5841,32.4357
-640.067,-596.5,33.8407,23.4669
-620.367,-556.867,39.8994,31.6339
-584,-606.7,30.7077,40.4194
-643.1,-598.067,35.0494,25.766
-556.933,-607.933,29.6474,25.2259
-606.333,-570,34.7281,27.9685
-633.933,-621.1,29.3397,30.7245
-550.367,-560.367,28.2876,30.2856
-636.5,-531.4,38.1795,27.197
-624.833,-570.467,31.9632,29.4902
-617.533,-565.667,41.0734,25.5284
-550.6,-592.767,31.9887,37.393
